울산광역시 북구 염포동|10071|1774.3|1172031|1728368|1173466 1730605;1173124 1730160;1172862 1729734;1172776 1728700;1172848 1728505;1172374 1727602;1173080 1727145;1173226 1726825;1173053 1726132;1172787 1726386;1171952 1726749;1171911 1726754;1171743 1726748;1171685 1726763;1171604 1726807;1171555 1726854;1171314 1727223;1171147 1727355;1171050 1727445;1170947 1728245;1171808 1729222;1171960 1729598;1172631 1730541;1173466 1730605
울산광역시 울주군 온산읍|24417|595.4|1166342|1716833|1170475 1717170;1170435 1716174;1170433 1716162;1170431 1716155;1170427 1716152;1170420 1716151;1170410 1716152;1170401 1716154;1170397 1716157;1170393 1716162;1170393 1716176;1170395 1716193;1170396 1716195;1170412 1716343;1170464 1717560;1170467 1717628;1170707 1718222;1170713 1718231;1170715 1718231;1170731 1718224;1170737 1718221;1170694 1718116;1170483 1717452;1170475 1717170
울산광역시 울주군 언양읍|31333|458.1|1150389|1733355|1154208 1739022;1155441 1737113;1154559 1735413;1154202 1733712;1153140 1732444;1154773 1731379;1154527 1728454;1152523 1728830;1152244 1728166;1149363 1728104;1148690 1728878;1148768 1729896;1146660 1731001;1145619 1731668;1146826 1733658;1145741 1735729;1144140 1737610;1146359 1737936;1148696 1736273;1149439 1735856;1150162 1736016;1151274 1736085;1153105 1737708;1154208 1739022
울산광역시 울주군 온양읍|27784|431.4|1159404|1714908|1161996 1719839;1163264 1718777;1163136 1718266;1162439 1717672;1163415 1715459;1164227 1715294;1164575 1714892;1164369 1714186;1164333 1713539;1163123 1710821;1161354 1711135;1160752 1712457;1159718 1711256;1159027 1711301;1157691 1710945;1155753 1710765;1154838 1712254;1156005 1714222;1154345 1715594;1155590 1717804;1156250 1718298;1158236 1718606;1159877 1718882;1161996 1719839
울산광역시 울주군 범서읍|65700|858.2|1158219|1734843|1160206 1740883;1162069 1740539;1162761 1738971;1162512 1738138;1162901 1736227;1162488 1733741;1161797 1732790;1160052 1733656;1158911 1733877;1159211 1731560;1159759 1730800;1159150 1730124;1158914 1729668;1156772 1728210;1154415 1728824;1154204 1731429;1153130 1732513;1154173 1734101;1155249 1735726;1155473 1737577;1155960 1738411;1157856 1738662;1157903 1740248;1160206 1740883
울산광역시 울주군 청량읍|18102|302|1160456|1723341|1157091 1728133;1159052 1727759;1160690 1727433;1161195 1726570;1162161 1725809;1162790 1724440;1163774 1723823;1164975 1723213;1166058 1722616;1166586 1721450;1166243 1720678;1165194 1719538;1163806 1719521;1162050 1719783;1159968 1718869;1158613 1718906;1157828 1719441;1158987 1721052;1158681 1722681;1157583 1722820;1156540 1724614;1155062 1725730;1155005 1727264;1157091 1728133
울산광역시 울주군 삼남읍|22317|715.7|1144703|1727427|1146837 1730944;1148752 1729908;1149185 1729132;1148704 1728897;1148319 1728181;1147576 1727819;1146369 1726489;1146064 1725805;1145192 1725137;1144737 1724577;1144634 1723809;1144342 1723641;1144202 1723702;1142538 1724440;1141616 1724867;1140761 1726283;1141031 1727361;1142730 1728513;1143941 1728467;1144751 1729658;1145140 1730389;1145866 1730754;1146614 1731002;1146837 1730944
울산광역시 울주군 서생면|8170|219.5|1164725|1709528|1164364 1713521;1167561 1712192;1167660 1711265;1167617 1710705;1167631 1710632;1167628 1710635;1167610 1710375;1168491 1709623;1169128 1709041;1167617 1707824;1166966 1708331;1166505 1707337;1165385 1706414;1165336 1706221;1165133 1706325;1164255 1705107;1164320 1705154;1164170 1705400;1162849 1706054;1161776 1708188;1160426 1711216;1161430 1712174;1162432 1710868;1164364 1713521
울산광역시 울주군 웅촌면|8724|169.7|1154067|1720377|1155109 1725612;1156540 1724614;1157181 1722492;1158627 1722929;1159366 1722099;1159058 1720924;1157722 1719427;1157491 1718883;1155975 1718272;1155590 1717804;1154504 1716293;1154028 1717224;1153453 1716805;1152897 1716715;1151598 1716486;1150012 1717371;1148436 1718750;1149108 1719446;1149856 1720661;1151356 1721570;1153033 1722178;1154195 1722418;1153520 1724518;1155109 1725612
울산광역시 울주군 두동면|4018|63.8|1154926|1742046|1154606 1748297;1156214 1747221;1157538 1746686;1159457 1744730;1158851 1742297;1158005 1739481;1157644 1738518;1155880 1738208;1153833 1738803;1153215 1737294;1151423 1735733;1149840 1735742;1149162 1736254;1149325 1736951;1150032 1738252;1150644 1739095;1151071 1740456;1152010 1741041;1152231 1741453;1152553 1742834;1153585 1745252;1153579 1746813;1153861 1748022;1154606 1748297
울산광역시 울주군 두서면|3010|38.1|1148795|1743125|1149119 1748717;1152055 1748748;1153110 1748223;1153579 1746813;1153518 1745369;1152246 1743098;1152383 1741503;1152231 1741090;1151408 1740842;1151083 1740117;1150968 1737925;1150021 1738241;1149370 1736991;1149188 1736406;1148690 1736259;1146359 1737936;1143869 1739586;1145636 1741296;1144358 1744178;1144005 1746338;1145346 1746757;1146930 1746993;1147995 1747693;1149119 1748717
울산광역시 울주군 상북면|8089|65.8|1141081|1734204|1144121 1745726;1145345 1742245;1143922 1739643;1144637 1736785;1146923 1734943;1145934 1731920;1145866 1730754;1144890 1729321;1141770 1728310;1138725 1726665;1136665 1726953;1135638 1727670;1134232 1728837;1134965 1731057;1137607 1733173;1137810 1736457;1137163 1737906;1139191 1738539;1140505 1740319;1142906 1739562;1142851 1740448;1142338 1743471;1142435 1744578;1144121 1745726
울산광역시 울주군 삼동면|1707|27.5|1149977|1724509|1153483 1728966;1154743 1728575;1155005 1727264;1154885 1726035;1153639 1724614;1154335 1722557;1152958 1722213;1151356 1721570;1149857 1720658;1149055 1719455;1147779 1719464;1146755 1720996;1145893 1722120;1145700 1723181;1144963 1723512;1144730 1723929;1145175 1725142;1146499 1726310;1147558 1727813;1148646 1728546;1149375 1728159;1150755 1727940;1152351 1728653;1153483 1728966
