stop_id,stop_name,lon,lat,utmk_x,utmk_y,cell_100,cell_1000,zone
26905,화진중학교,129.4228673,35.49570443,1174410.84,1723901.74,100_1174400_1723900,1000_1174000_1723000,울산광역시 동구
61003,화진중학교,129.4211654,35.4952486,1174257.43,1723848.17,100_1174200_1723800,1000_1174000_1723000,울산광역시 동구
13203,화진중학교,129.4227633,35.49837827,1174395.62,1724198.16,100_1174300_1724100,1000_1174000_1724000,울산광역시 동구
61004,화진중학교,129.4213366,35.49505347,1174273.39,1723826.83,100_1174200_1723800,1000_1174000_1723000,울산광역시 동구
61017,화진중학교,129.4230258,35.49516793,1174426.37,1723842.51,100_1174400_1723800,1000_1174000_1723000,울산광역시 동구
13204,화진중학교,129.4232367,35.49852088,1174438.25,1724214.81,100_1174400_1724200,1000_1174000_1724000,울산광역시 동구
40134,화학재난합동방재센터,129.3301028,35.47457421,1166039.28,1721397.82,100_1166000_1721300,1000_1166000_1721000,울산광역시 울주군
11108,화합로입구,129.341507,35.55351793,1166910.51,1730173.85,100_1166900_1730100,1000_1166000_1730000,울산광역시 중구
26380,활어직판장,129.4505367,35.61817323,1176651.82,1737536.17,100_1176600_1737500,1000_1176000_1737000,울산광역시 북구
31810,활천마을,129.1881779,35.70622185,1152720.88,1746863.27,100_1152700_1746800,1000_1152000_1746000,울산광역시 울주군
31809,활천마을,129.1881578,35.70612526,1152719.24,1746852.53,100_1152700_1746800,1000_1152000_1746000,울산광역시 울주군
30302,활천입구,129.1956808,35.70968338,1153393.05,1747258.95,100_1153300_1747200,1000_1153000_1747000,울산광역시 울주군
30301,활천입구,129.1955295,35.7097143,1153379.31,1747262.14,100_1153300_1747200,1000_1153000_1747000,울산광역시 울주군
14534,황방산생태야영장,129.3275327,35.58765737,1165573.48,1733937.18,100_1165500_1733900,1000_1165000_1733000,울산광역시 중구
14533,황방산생태야영장,129.3273312,35.58767133,1165555.19,1733938.39,100_1165500_1733900,1000_1165000_1733000,울산광역시 중구
11703,황방산입구,129.328001,35.58498542,1165621.42,1733641.58,100_1165600_1733600,1000_1165000_1733000,울산광역시 중구
23521,황암마을,129.363516,35.46939887,1169081.94,1720880.48,100_1169000_1720800,1000_1169000_1720000,울산광역시 남구
14312,황토방아파트,129.3256583,35.63896506,1165298.01,1739625.37,100_1165200_1739600,1000_1165000_1739000,울산광역시 북구
14311,황토방아파트,129.3253395,35.63872296,1165269.64,1739597.98,100_1165200_1739500,1000_1165000_1739000,울산광역시 북구
61314,황토전,129.4304371,35.58098927,1174912.19,1733375.52,100_1174900_1733300,1000_1174000_1733000,울산광역시 북구
61313,황토전,129.4303532,35.58084337,1174904.9,1733359.19,100_1174900_1733300,1000_1174000_1733000,울산광역시 북구
61303,황토전경로당,129.4317528,35.57951939,1175034.62,1733214.81,100_1175000_1733200,1000_1175000_1733000,울산광역시 북구
61304,황토전경로당,129.431752,35.57980165,1175033.93,1733246.12,100_1175000_1733200,1000_1175000_1733000,울산광역시 북구
40123,회학마을입구,129.3338882,35.45574223,1166421.56,1719315.29,100_1166400_1719300,1000_1166000_1719000,울산광역시 울주군
40124,회학마을입구,129.3341035,35.45626425,1166440.03,1719373.55,100_1166400_1719300,1000_1166000_1719000,울산광역시 울주군
30662,효문교차로,129.3742718,35.5719866,1169841.6,1732278.53,100_1169800_1732200,1000_1169000_1732000,울산광역시 북구
30663,효문교차로,129.3740539,35.57132975,1169823.24,1732205.29,100_1169800_1732200,1000_1169000_1732000,울산광역시 북구
40334,효문동행정복지센터,129.3605775,35.57793573,1168588.05,1732914.9,100_1168500_1732900,1000_1168000_1732000,울산광역시 북구
40333,효문동행정복지센터,129.3602169,35.57763815,1168555.99,1732881.27,100_1168500_1732800,1000_1168000_1732000,울산광역시 북구
30609,효문사거리,129.3635697,35.56130862,1168894.11,1731075.65,100_1168800_1731000,1000_1168000_1731000,울산광역시 북구
30610,효문사거리,129.3590642,35.56122501,1168485.91,1731058.66,100_1168400_1731000,1000_1168000_1731000,울산광역시 북구
40337,효문사거리,129.3613719,35.56009238,1168697.45,1730936.97,100_1168600_1730900,1000_1168000_1730000,울산광역시 북구
40338,효문사거리,129.361563,35.56308219,1168708.5,1731268.95,100_1168700_1731200,1000_1168000_1731000,울산광역시 북구
25916,효문입구,129.3713991,35.56195149,1169602.41,1731160.42,100_1169600_1731100,1000_1169000_1731000,울산광역시 북구
