lon,lat,pop
129.41834,35.6116,35
129.35744,35.60354,209
129.36369,35.635,5448
129.38397,35.55806,1150
129.42472,35.64756,34
129.33516,35.59487,0
129.41401,35.66125,0
129.42483,35.65207,12
129.33568,35.6174,29
129.42927,35.60692,75
129.3462,35.5947,0
129.3845,35.58058,0
129.34151,35.63083,4062
129.29655,35.59545,0
129.35619,35.54947,3596
129.36774,35.57183,0
129.36243,35.58093,644
129.44691,35.65171,18
129.36254,35.58543,2910
129.44615,35.62017,449
129.35192,35.60363,0
129.31442,35.65378,40
129.42375,35.60701,51
129.40296,35.66143,0
129.46204,35.59287,55
129.35255,35.63066,2484
129.35629,35.55398,5241
129.31933,35.62666,0
129.39426,35.52634,0
129.44041,35.61125,9
129.34713,35.63525,1477
129.37867,35.56715,0
129.43965,35.57971,0
129.36753,35.56282,18
129.31892,35.60864,10
129.36379,35.6395,4171
129.42386,35.61152,7
129.33088,35.64902,41
129.37888,35.57617,17
129.36306,35.60796,62
129.34734,35.64427,4295
129.35275,35.63967,3207
129.4191,35.64314,0
129.4562,35.57944,27
129.34202,35.65336,10
129.36858,35.60788,1165
129.32485,35.62658,10
129.36868,35.61238,66
129.34765,35.65778,0
129.44128,35.64729,14
129.35765,35.61255,18
129.40051,35.5578,0
129.38365,35.54454,654
129.36212,35.56741,21
129.37294,35.55823,363
129.36743,35.55831,0
129.33026,35.62199,0
129.46182,35.58386,9
129.43555,35.63837,4481
129.39203,35.66611,9
129.42311,35.57997,0
129.34703,35.63075,3763
129.45167,35.62008,123
129.31391,35.63125,213
129.34078,35.59929,41
129.34192,35.64886,1416
129.36202,35.5629,303
129.40838,35.65684,0
129.35681,35.57651,0
129.36264,35.58994,2965
129.33619,35.63993,8
129.43511,35.62035,0
129.31984,35.64919,6
129.35203,35.60813,29
129.3363,35.64443,0
129.44063,35.62026,0
129.40656,35.58024,0
129.36348,35.62599,306
129.42905,35.59791,30
129.39755,35.66602,0
129.32505,35.63559,3924
129.3135,35.61323,0
129.32495,35.63108,3873
129.35702,35.58552,87
129.38895,35.53544,1461
129.34182,35.64435,135
129.34754,35.65328,3535
129.36411,35.65302,0
129.37877,35.57166,0
129.36317,35.61247,36
129.35827,35.63959,4462
129.34213,35.65787,1265
129.33681,35.66696,375
129.35088,35.55857,1906
129.35213,35.61264,6
129.37326,35.57175,0
129.36296,35.60346,2916
129.35296,35.64869,4217
129.42895,35.5934,49
129.46226,35.60188,9
129.37357,35.58526,510
129.35754,35.60805,109
129.43544,35.63387,448
129.46237,35.60639,15
129.35817,35.63508,420
129.36327,35.61698,152
129.30799,35.61331,7
129.38917,35.54445,1531
129.41813,35.60259,8
129.33661,35.65795,42
129.36963,35.65294,0
129.3365,35.65345,7
129.32526,35.6446,187
129.3132,35.59971,0
129.33588,35.62641,10
129.39457,35.53986,280
129.33006,35.61298,0
129.37898,35.58067,16
129.38906,35.53995,2813
129.34068,35.59478,23
129.41368,35.64774,0
129.39977,35.52626,668
129.44528,35.58413,0
129.31872,35.59963,11
129.44593,35.61116,39
129.35806,35.63058,2545
129.3413,35.62182,12
129.43457,35.59782,18
129.40307,35.66593,17
129.32454,35.61306,0
129.33037,35.62649,40
129.38885,35.53093,0
129.3133,35.60422,8
129.36191,35.5584,717
129.37368,35.58977,602
129.42364,35.6025,35
129.43014,35.64297,10
129.35848,35.6486,32
129.37005,35.67096,0
129.35244,35.62616,842
129.39001,35.5805,0
129.34223,35.66237,1313
