stop_id,lon,lat
30323,129.1492874,35.61690732
30324,129.1495324,35.61688605
21319,129.2796016,35.60893538
21320,129.2798039,35.60853953
21318,129.2798473,35.61216933
21317,129.2798575,35.6113588
74202,129.2878658,35.53747723
74201,129.2876313,35.53746592
31422,129.1508535,35.54423757
31423,129.1510368,35.54429287
27923,129.4523687,35.57518955
27924,129.452595,35.57538749
30348,129.1273669,35.56314239
30347,129.1269705,35.56310996
73304,129.3274759,35.55809068
21406,129.3278355,35.55641723
40216,129.248535,35.56067888
40215,129.2485135,35.56028288
40243,129.2325385,35.57138943
20744,129.2327054,35.57078545
40242,129.2327456,35.57145092
20402,129.2330063,35.57109161
20432,129.2513738,35.56378666
20434,129.2513755,35.56374833
20433,129.2510771,35.56382374
4420,129.0353159,35.34389926
4421,129.0353731,35.34370045
40534,129.3307342,35.52732563
66802,129.3174445,35.55503388
66810,129.318472,35.55548188
3028,129.0611222,35.7412246
3029,129.0609371,35.74065172
11804,129.3088403,35.57535673
11803,129.3089015,35.57514547
26354,129.440261,35.637895
26353,129.4400304,35.63784336
40221,129.2577057,35.55772701
40222,129.2586997,35.5578234
40223,129.2639748,35.55529762
40224,129.2642112,35.55547803
20424,129.2398033,35.57777825
20423,129.239977,35.57748329
30280,129.0669399,35.6168521
30281,129.066793,35.61680982
30208,129.0673485,35.61617392
30207,129.0672323,35.61612275
30248,129.0685535,35.61819073
30249,129.0684594,35.61800736
23905,129.3153019,35.56817504
23906,129.3154964,35.56832223
30218,129.0856922,35.59711745
30217,129.085629,35.59696156
62100,129.292204,35.57690312
62109,129.2922653,35.57698966
15915,129.2665535,35.42373603
15916,129.2667272,35.42368534
15913,129.2653578,35.42691586
15914,129.265484,35.42696755
30550,129.1654964,35.4080157
30549,129.1652792,35.40789382
61805,129.3249795,35.6326397
61804,129.3250218,35.63309954
61803,129.3253861,35.63049329
14501,129.3254427,35.63066832
25527,129.3483162,35.64017932
25528,129.3484405,35.64075944
22807,129.3233035,35.5448986
63610,129.3229905,35.54500634
11417,129.3137679,35.56477018
11416,129.313709,35.5645911
26407,129.3770629,35.56429202
27119,129.4166527,35.50249166
27120,129.4168243,35.50239789
40373,129.3662863,35.5980337
40365,129.3663351,35.60358015
24418,129.1493825,35.51187349
